state,resource,problem_type,output_addition_y,plausibility_haircut_z,minimum_operating_floor_cap,exception_status,exception_final_cap,representative_max_year,representative_max_output,year_selection_reason,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,adjustment_reason,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note
Cape Colony,Gold Fields (undiscovered),,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Cape Colony,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Cape Colony,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Cape Colony,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
Cape Colony,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Cape Colony / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.
Northern Cape,Arable Land,,0.0,0.0,,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Northern Cape section; dry pastoral farming with limited maize/millet/cotton pockets.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Northern Cape comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.
Northern Cape,Coal Mine,,0,0.0,,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Northern Cape,Fishing,,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Northern Cape,Gold Mine,counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
Northern Cape,Lead Mine,proxy moderation,10648.398009,0.0,,,,,,,,,pass,,proxy_target_gap,"Copper tonnage captures only one stream in the Little Namaqualand base-metal district, so the lead-slot abstraction keeps only a moderate upward proxy allowance.","The western base-metal belt is real, but the larger 15-cap uplift is not tightly reproduced by the public evidence.",Moderated proxy uplift sized to keep a moderate western base-metal row above the copper-only floor.,No downward plausibility haircut.,proxy,"Moderated the proxy uplift downward: Little Namaqualand clearly supports a western base-metal row, but the larger 15-cap audit result was too aggressive for the public evidence.",copper output proxy,t output,Public target quantity is copper-tonnage evidence mapped into the lead slot as a base-metal abstraction.,"The Mineral Industry, 1904",https://upload.wikimedia.org/wikipedia/commons/3/3c/The_Mineral_industry_%28IA_gri_33125014727172%29.pdf,"South Africa section: the mines in Little Namaqualand ""yield about 7,000 tons of copper per year.""",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,Copper mining at Okiep/Namaqualand boomed in the nineteenth century but remained modest compared with the Witwatersrand.,Proxy uplift moderated so the final row stays in the publicly supported range without deleting the western base-metal slot.
Northern Cape,Sulfur Mine,,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Northern Cape,Whaling,counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
Northern Cape,Wood,,0,0.0,,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Northern Cape,Gold Fields (discovered),,0,0.0,,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Northern Cape,Gold Fields (undiscovered),chronology,0,0.0,,manual_special_field_exception,20,1887,3692265.0,Representative year uses the first fully large Kimberley diamond-output phase instead of a blind 1950 rule because the field is a late-discovery special slot rather than a direct ongoing 1950 gold series.,,,pass,Current direct target observation is absent because the public chain does not yet map Kimberley diamond carats into the Gold Fields abstraction as a direct target row.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Restores a moderate undiscovered Kimberley precious-field row because the redesign otherwise deleted a historically central late-discovery diamond field through missing target observations rather than counterevidence.,,,,"South Africa: Diamonds, gold, and imperialist intervention (1870–1902)",https://www.britannica.com/place/South-Africa/Diamonds-gold-and-imperialist-intervention-1870-1902,"Diamond discovery is tied to the post-1867 Kimberley rush, so the row belongs in the undiscovered slot rather than the 1836 start date.",The Empire and the century/Some Aspects of the Mining Industry in South Africa,https://en.wikisource.org/wiki/The_Empire_and_the_century/Some_Aspects_of_the_Mining_Industry_in_South_Africa,"In 1887 the output of diamonds had grown to 3,692,265 carats, confirming a major later precious-field industry.",Explicit special-field exception retained at 20 pending a cleaner direct carat-to-slot observation chain.
Northern Cape,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Northern Cape,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Northern Cape,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
Northern Cape,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Northern Cape / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.
Eastern Cape,Arable Land,,0.0,0.0,,,,1936,,Arable land capacity is audited as broad plausible 1936 commercial potential rather than GDP-selected realized output.,supports,Land-capacity model replaces the old output-gap reconstruction for arable rows.,pass,Observed x is direct effective commercial agricultural hectares from audited land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Land-capacity model uses direct effective commercial hectares; legacy output-gap uplift is retired.,,,,Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Eastern Cape section; mixed farming with wheat, maize, livestock, and tobacco evidence.",Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,Eastern Cape comparator basket and weighted agricultural matches.,Arable now uses direct land-capacity x with no legacy output-gap Y or GDP/output smoothing.
Eastern Cape,Fishing,rounding floor,0,0.0,1,,,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,Applied a one-wharf floor because the raw formula rounds an established dedicated commercial fishery to zero even though the public target evidence shows a persistent non-trivial squid fishery on this coast.,,,,Status of the South African marine fishery resources 2025,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2025.pdf,"Squid useful statistics table: 2018 commercial jig catches = 13,983 t and hake-trawl squid bycatch = 521 t; combined output = 14,504 t.",Status of the South African marine fishery resources 2025,https://www.dffe.gov.za/sites/default/files/reports/research/fisheries/statusofsouthafrican_marinefisheryresources2025.pdf,"Squid section: the fishery operates between the Cape of Good Hope and Port Alfred and annual catches have ranged from 2,000 to over 13,000 t since 1985.",Legacy rounding-floor row migrated without nonzero output adjustment terms.
Eastern Cape,Gold Mine,counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a standalone gold-mine slot here; any gold-family logic for this state stays out of the capped row until direct target evidence is frozen.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept the gold-mine slot at zero because there is no frozen target observation for a commercial gold-mine row in this state and the proposal registry does not defend one for the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Use alongside the proposal registry for state-level mining plausibility checks.,Explicit zero retained for Gold Mine despite a live comparator family because the target-side evidence chain is still absent.
Eastern Cape,Iron Mine,,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Eastern Cape,Lead Mine,,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Eastern Cape,Sulfur Mine,,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Eastern Cape,Whaling,counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
Eastern Cape,Wood,,0,0.0,,,,2017,141812.0,Representative year uses the Eastern Cape managed-forestry area benchmark because it measures the plantation belt directly in hectares.,supports,Eastern Cape has a real managed timber belt.,pass,Eastern Cape target row uses managed forestry area rather than roundwood throughput.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,direct,Managed-forestry redesign removes the old wood floor; the row now stands on direct plantation-area evidence.,,,,Trade & Industrial Policy Strategies: South Africa’s Forestry Value Chain,https://www.tips.org.za/policy-briefs/item/download/1951_b81dc50ab22218561eec628aa634d782,"Eastern Cape afforested area = 141,812 ha in 2017.",cape_economics.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/cape_economics.md,The Tsitsikamma and Outeniqua belt supports a real timber economy in the Eastern Cape footprint.,Managed-forestry redesign replaces the old roundwood-throughput proxy with direct Eastern Cape afforested plantation area.
Eastern Cape,Gold Fields (discovered),,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Eastern Cape,Gold Fields (undiscovered),,0,0.0,,manual_zero_exception,0,,,,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,,
Eastern Cape,Oil (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Eastern Cape,Oil (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
Eastern Cape,Rubber (discovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
Eastern Cape,Rubber (undiscovered),counterfactual checked and rejected,0.0,0.0,,manual_zero_exception,0,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,Kept undiscovered rubber disabled because the current package still lacks a localized plantation chain or quantitative target observation strong enough to defend a latent rubber slot.,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Eastern Cape / Rubber (undiscovered) row in the proposal registry.,,,,Explicit zero retained for undiscovered rubber until a localized plantation evidence chain is frozen.
